source,name,misc,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,N-Ped,E-Ped,S-Ped,W-Ped,N-Bike,E-Bike,S-Bike,W-Bike,lat,lon
misc/120822 Nueva School Preliminary Plan Submission - Attached Reports.txt,SKYLINE BOULEVARD/SR-35 / NUEVA SCHOOL DRIVEWAY,x,WEDNESDAY APRIL 18 2012,07:00-07:15,0,21,3,0,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,,
misc/120822 Nueva School Preliminary Plan Submission - Attached Reports.txt,SKYLINE BOULEVARD/SR-35 / NUEVA SCHOOL DRIVEWAY,x,WEDNESDAY APRIL 18 2012,07:00-08:00,0,146,24,6,0,3,31,80,0,0,0,0,0,1,0,0,0,4,0,0,,
misc/120822 Nueva School Preliminary Plan Submission - Attached Reports.txt,SKYLINE BOULEVARD/SR-35 / NUEVA SCHOOL DRIVEWAY,x,WEDNESDAY APRIL 18 2012,07:15-07:30,0,35,3,1,0,2,10,15,0,0,0,0,0,0,0,0,0,2,0,0,,
misc/120822 Nueva School Preliminary Plan Submission - Attached Reports.txt,SKYLINE BOULEVARD/SR-35 / NUEVA SCHOOL DRIVEWAY,x,WEDNESDAY APRIL 18 2012,07:15-08:15,0,182,47,8,0,17,59,101,0,0,0,0,0,0,0,0,0,4,0,0,,
misc/120822 Nueva School Preliminary Plan Submission - Attached Reports.txt,SKYLINE BOULEVARD/SR-35 / NUEVA SCHOOL DRIVEWAY,x,WEDNESDAY APRIL 18 2012,07:30-07:45,0,38,10,0,0,0,8,29,0,0,0,0,0,0,0,0,0,0,0,0,,
misc/120822 Nueva School Preliminary Plan Submission - Attached Reports.txt,SKYLINE BOULEVARD/SR-35 / NUEVA SCHOOL DRIVEWAY,x,WEDNESDAY APRIL 18 2012,07:30-08:30,0,213,79,28,0,55,139,124,0,0,0,0,0,0,0,0,0,3,0,0,,
misc/120822 Nueva School Preliminary Plan Submission - Attached Reports.txt,SKYLINE BOULEVARD/SR-35 / NUEVA SCHOOL DRIVEWAY,x,WEDNESDAY APRIL 18 2012,07:45-08:00,0,52,8,5,0,1,12,27,0,0,0,0,0,0,0,0,0,2,0,0,,
misc/120822 Nueva School Preliminary Plan Submission - Attached Reports.txt,SKYLINE BOULEVARD/SR-35 / NUEVA SCHOOL DRIVEWAY,x,WEDNESDAY APRIL 18 2012,07:45-08:45,0,200,82,64,0,100,170,119,0,0,0,0,0,1,0,0,0,3,0,0,,
misc/120822 Nueva School Preliminary Plan Submission - Attached Reports.txt,SKYLINE BOULEVARD/SR-35 / NUEVA SCHOOL DRIVEWAY,x,WEDNESDAY APRIL 18 2012,08:00-08:15,0,57,26,2,0,14,29,30,0,0,0,0,0,0,0,0,0,0,0,0,,
misc/120822 Nueva School Preliminary Plan Submission - Attached Reports.txt,SKYLINE BOULEVARD/SR-35 / NUEVA SCHOOL DRIVEWAY,x,WEDNESDAY APRIL 18 2012,08:00-09:00,0,184,81,63,0,113,163,132,0,0,0,0,0,1,0,0,0,1,0,0,,
