                                                                   TRAFFIC COUNT SUMMARY
INTERSECTION:
North/South SEPULVEDA BLVD
East/West           BRONWOOD AVE

Day:     WED                          Date:       9/20/06                   Weather:          CLEAR

Hours: 7-10 AM 3-6 PM

School Day:         YES               District:             LOS ANGELES


                      N/B      TIME                 S/B      TIME              E/B     TIME            W/B    TIME

AM PK 15 MIN          117      8:45                 474       8:45               0        0              9     8:00

PM PK 15 MIN          501      5:00                 139       5:45               0        0              7     3:30

AM PK HOUR            437      8:00                1817       8:15               0        0             20     7:15

PM PK HOUR           1946      5:00                 487       5:00               0        0             17     4:00


NORTHBOUND Approach                                         SOUTHBOUND Approach                              TOTAL    XING S/L         XING N/L

 Hours         Lt         Th     Rt      Total               Hours     Lt       Th       Rt    Total           N-S      Ped      Sch     Ped      Sch
7-8            0      337         7       344               7-8       27      1496        0    1523           1867         0       0        0       0
8-9            0      431         6       437               8-9       36      1756        0    1792           2229         0       0        0       0
9-10           0      389         5       394               9-10      19      1627        0    1646           2040         0       0        0       0
3-4            0     1677        11      1688               3-4       17       393        0     410           2098         0       0        0       0
4-5            9     1755        15      1779               4-5       11       418        0     429           2208         0       0        0       0
5-6            0     1934        12      1946               5-6       12       474        1     487           2433         0       0        0       0


TOTAL          9     6523        56      6588               TOTAL     122     6164        1    6287          12875         0       0        0       0

EASTBOUND Approach                                          WESTBOUND Approach                               TOTAL    XING W/L         XING E/L

 Hours         Lt         Th     Rt      Total               Hours     Lt       Th       Rt    Total           E-W      Ped      Sch     Ped      Sch
7-8            0           0      0           0             7-8        1         0       11      12             12         0       0        0       0
8-9            0           0      0           0             8-9        4         0       14      18             18         0       0        0       0
9-10           0           0      0           0             9-10        2        0        6       8              8         0       0        0       0
3-4            0           0      0           0             3-4        1         0       12      13             13         0       0        0       0
4-5            0           0      0           0             4-5        2         0       15      17             17         0       0        0       0
5-6            0           0      0           0             5-6        2         0       11      13             13         0       0        0       0


TOTAL          0           0      0           0             TOTAL      12        0       69      81             81         0       0        0       0

