                                  TRAFFIC COUNT SUMMARY
                                                                                                               City of Los Angeles
STREET:                                                                                        Department of Transportation
North/South       FIGUEROA ST                                                                                      (Rev Apr 92)

East/West         80TH ST

Day:    WE                         Date:       AUGUST 19,1992        Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       NO               District:          SOUTHERN


                   N/B                          S/B                    E/B                     W/B
DUAL-
WHEELED            159                          145                     7                       0

BUSES               44                           40                     0                       0


                   N/B TIME                     S/B TIME               E/B TIME                W/B     TIME

AM PK 15 MIN       436     7.00                 134   8.00             17    9.30               4      7.15

PM PK 15 MIN       283     4.30                 337   5.00             13    4.45               4      3.30

AM PK HOUR 1650            7.00                 501   9.00             43    9.00              10      7.00

PM PK HOUR         944     4.00                1284   4.30             38    3.30              10      3.30




NORTHBOUND Approach                                   SOUTHBOUND Approach                            TOTAL     XING S/L        XING N/L

Hours       Lt   Th        Rt      Total              Hours   Lt   Th        Rt      Total            N-S       Ped    Sch     Ped   Sch
7-8           8 1638         4      1650              7-8       4 425        12        441            2091       0      0       3     8
8-9         11 1353          5      1369              8-9       5 469        16        490            1859       0      0       2     0
9-10          4 699          3       706              9-10      5 474        22        501            1207       0      0       1     0
3-4         16 667           4       687              3-4       4 935        24        963            1650       3      0       5     1
4-5         10 926           8       944              4-5       7 1152       26       1185            2129       2      1       5     0
5-6         17 686           5       708              5-6     12 1211        42       1265            1973       0      0       1     0

TOTAL       66 5969         29      6064              TOTAL     37 4666      142      4845            10909       5       1     17        9


EASTBOUND Approach                                    WESTBOUND Approach                             TOTAL     XING W/L        XING E/L

Hours       Lt     Th      Rt      Total              Hours   Lt      Th     Rt      Total            E-W       Ped    Sch     Ped   Sch
7-8         14       0     26          40             7-8       2       1      7         10             50      24     25      11     6
8-9           7      0     14          21             8-9       2       2      2           6            27      18      1       2     0
9-10        20       1     22          43             9-10      0       0      5           5            48      14      0       4     4
3-4         15       0     19          34             3-4       3       0      5           8            42      19     22      18    15
4-5         14       0     22          36             4-5       3       1      5           9            45      32     18       7     0
5-6           7      0     21          28             5-6       1       1      5           7            35      39     13       4     0

TOTAL       77         1   124        202             TOTAL     11      5       29       45            247     146     79       46    25

