                                  TRAFFIC COUNT SUMMARY
                                                                                                           City of Los Angeles
STREET:                                                                                    Department of Transportation
North/South       BRONSON AVE                                                                                  (Rev Apr 92)

East/West         SUNSET BL

Day:    WE                         Date:       AUGUST 19,1992      Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       NO               District:          HW


                   N/B                          S/B                  E/B                  W/B
DUAL-
WHEELED             30                           31                 240                   285

BUSES                  0                          0                  49                    52


                   N/B TIME                     S/B TIME             E/B TIME             W/B      TIME

AM PK 15 MIN       117     7.45                 113   7.45          341    7.45           484      7.30

PM PK 15 MIN       125     5.45                  93   5.15          495    5.00           425      5.15

AM PK HOUR         354     7.15                 392   7.30         1270    7.45           1730     7.30

PM PK HOUR         484     5.00                 312   5.00         1933    5.00           1563     4.30




NORTHBOUND Approach                                   SOUTHBOUND Approach                        TOTAL     XING S/L        XING N/L

Hours       Lt     Th      Rt      Total              Hours   Lt    Th     Rt     Total           N-S       Ped    Sch     Ped   Sch
7-8         59     128     133       320              7-8     58    215    54       327            647      41     38      58    77
8-9         28     110      82       220              8-9     58    219    66       343            563      28      7      39     1
9-10        19      95      90       204              9-10    50    188    99       337            541      33      1      23     0
3-4         23     203     151       377              3-4     73    149    77       299            676      73     56      30    10
4-5         13     281     125       419              4-5     69    102    72       243            662      33     16      14     6
5-6         26     336     122       484              5-6     74    181    57       312            796      40      9      26     0

TOTAL       168 1153       703      2024              TOTAL   382 1054     425     1861            3885    248    127      190    94


EASTBOUND Approach                                    WESTBOUND Approach                         TOTAL     XING W/L        XING E/L

Hours        Lt    Th      Rt      Total              Hours   Lt    Th     Rt     Total           E-W       Ped    Sch     Ped   Sch
7-8          58    989     29       1076              7-8     58   1409    34      1501           2577      38     23      49    60
8-9          40   1188     21       1249              8-9     42   1596    40      1678           2927      19      0      40     7
9-10         71   1081     16       1168              9-10    44   1320    66      1430           2598      28      1      24     1
3-4         104   1450     28       1582              3-4     81   1263    92      1436           3018      28     58      31    48
4-5         117   1650     31       1798              4-5     74   1351    93      1518           3316      42     12      15     8
5-6         115   1794     24       1933              5-6     63   1409    84      1556           3489      27      4      22     2

TOTAL       505 8152       149      8806              TOTAL   362 8348     409     9119           17925    182     98      181   126

