                                TRAFFIC COUNT SUMMARY
                                                                                                          City of Los Angeles
STREET:                                                                                   Department of Transportation
North/South       HIGHLAND AVE                                                                                (Rev Apr 92)

East/West         FRANKLIN AVE/FRANKLIN PL

Day:    TH                       Date:       AUGUST 20,1992       Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       NO             District:          HW


                   N/B                        S/B                   E/B                   W/B
DUAL-
WHEELED            303                        461                  131                     1

BUSES               55                         57                    0                     0


                   N/B TIME                   S/B TIME              E/B TIME              W/B     TIME

AM PK 15 MIN       463   8.45                1191   8.00           268    9.00             3      9.15

PM PK 15 MIN       671   5.30                 736   5.15           384    5.30            20      5.15

AM PK HOUR 1695          8.15                4415   7.30          1031    8.45             8      8.30

PM PK HOUR 2622          5.00                2507   4.30          1497    5.00            51      5.00




NORTHBOUND Approach                                 SOUTHBOUND Approach                         TOTAL     XING S/L        XING N/L

Hours       Lt     Th    Rt      Total              Hours   Lt     Th   Rt       Total           N-S       Ped    Sch     Ped   Sch
7-8           0   1270   13       1283              7-8       0   2213 1155       3368           4651      14      1       0     0
8-9           0   1652   31       1683              8-9       0   2638 1570       4208           5891      20      1       0     0
9-10          0   1436   30       1466              9-10      0   1937 1021       2958           4424      24      0       0     0
3-4           0   2181   41       2222              3-4       0   1623 881        2504           4726      47      2       0     0
4-5           0   2439   42       2481              4-5       0   1560 705        2265           4746      50      1       0     0
5-6           0   2585   37       2622              5-6       0   1467 981        2448           5070      23      0       0     0

TOTAL         0 #####    194     11757              TOTAL     0 ##### 6313       17751           29508    178        5      0        0


EASTBOUND Approach                                  WESTBOUND Approach                          TOTAL     XING W/L        XING E/L

Hours     Lt       Th    Rt      Total              Hours   Lt     Th     Rt     Total           E-W       Ped    Sch     Ped   Sch
7-8      770         6   24        800              7-8       0      0      4         4            804     19      1      27     1
8-9      921        19   18        958              8-9       0      0      5         5            963     20      0      19     1
9-10     964        13   35       1012              9-10      0      0      8         8          1020      20      6      25     0
3-4     1390         6   39       1435              3-4       0      0    17         17          1452      20      4      44     0
4-5     1350        18   32       1400              4-5       0      0    19         19          1419      48      2      40     0
5-6     1467         7   23       1497              5-6       0      0    51         51          1548      25      3      48     0

TOTAL 6862          69   171      7102              TOTAL     0      0    104      104           7206     152     16      203        2

