                                TRAFFIC COUNT SUMMARY
                                                                                                            City of Los Angeles
STREET:                                                                                     Department of Transportation
North/South       KEWEN AVE                                                                                     (Rev Apr 92)

East/West         PEORIA ST

Day:    MO                       Date:       SEP 28,1992           Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:           EAST VALLEY


                   N/B                         S/B                   E/B                    W/B
DUAL-
WHEELED              3                          5                    11                     13

BUSES                0                          0                     0                      0


                   N/B TIME                    S/B TIME              E/B TIME               W/B     TIME

AM PK 15 MIN        11   7.15                  65    7.45            77    7.45             50      7.45

PM PK 15 MIN         5   4.15                  38    3.15            63    3.45             45      5.45

AM PK HOUR          27   7.00                 158    7.15           201    7.00             161     7.15

PM PK HOUR          14   4.45                  94    3.15           206    3.30             155     5.00




NORTHBOUND Approach                                  SOUTHBOUND Approach                          TOTAL     XING S/L        XING N/L

Hours       Lt     Th    Rt      Total               Hours   Lt     Th     Rt      Total           N-S       Ped    Sch     Ped   Sch
7-8         13       7     7         27              7-8     27       7    107       141            168       5      7       0     5
8-9           4      3     1           8             8-9       9      0     40         49            57       2      0      10     0
9-10          1      0     0           1             9-10      4      1     14         19            20       0      0       2     0
3-4           6      4     1         11              3-4       7      8     65         80            91       1     16       6    12
4-5           8      1     2         11              4-5       7      1     48         56            67       0      5       0     2
5-6           6      3     5         14              5-6       9      1     11         21            35       0      1       0     0

TOTAL        38     18    16         72              TOTAL   63      18    285       366            438        8    29       18    19


EASTBOUND Approach                                   WESTBOUND Approach                           TOTAL     XING W/L        XING E/L

Hours       Lt     Th    Rt      Total               Hours   Lt     Th     Rt      Total           E-W       Ped    Sch     Ped   Sch
7-8         95     100     6       201               7-8       3    136    16        155             356     11     42       4     6
8-9         24      68     7         99              8-9       1     70      3         74            173     13      2       0     0
9-10          8     60     3         71              9-10      1     40      2         43            114      9      0       0     0
3-4         81      92   12        185               3-4       2    103      7       112             297     17     92       0     0
4-5         35     139   17        191               4-5       0     84      7         91            282      3     40       0     1
5-6         41     112   14        167               5-6       1    133    21        155             322      3      1       0     0

TOTAL       284    571    59        914              TOTAL    8     566       56     630           1544       56   177        4        7

